         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100/36    0.000    0.000    0.011    0.000 sre_parse.py:417(_parse_sub)
       17    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      123    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
   337/12    0.000    0.000    0.660    0.055 {built-in method builtins.__import__}
     1036    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
     1778    0.000    0.000    0.011    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1778    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
   776/33    0.001    0.000    0.660    0.020 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     3996    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       28    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        4    0.000    0.000    0.012    0.003 enum.py:135(__new__)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3913    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      155    0.000    0.000    0.008    0.000 re.py:271(_compile)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      829    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
    156/6    0.001    0.000    0.664    0.111 <frozen importlib._bootstrap>:663(_load_unlocked)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      405    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
   337/12    0.000    0.000    0.662    0.055 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
      123    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    123/5    0.000    0.000    0.662    0.132 <frozen importlib._bootstrap_external>:722(exec_module)
      156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
